prNumber,prTitle,repo
8849,Add EIP: Increase Blob Base Fee,EIPs
8847,"Update EIP-7620: Fix typo, formatting, and add EIP references",EIPs
8846,Update EIP-7600: Update eip-7600.md,EIPs
8845,Update EIP-7702: 7702 validity,EIPs
8844,"Update EIP-7702: adjust tx validity""",EIPs
8843,Update EIP-7723: Move to Review,EIPs
8842,Update EIP-6493: Fix `Optional` specification for signature profile,EIPs
8841,Update EIP-6800: remove text around SELFDESTRUCT deprecation,EIPs
8840,Update EIP-7702: adjust tx validity,EIPs
8839,Create lost and found,EIPs
8838,Add EIP: ISCONTRACT instruction,EIPs
8837,Update EIP-7742: Move to Review,EIPs
8836,Update EIP-7600: Update eip-7600.md,EIPs
8834,Update EIP-5792: Move to Review,EIPs
8833,Update EIP-7702: Restrict chain_id to chain's id or zero,EIPs
8830,Update EIP-663: Modify specification section for EIP-663,EIPs
8829,Update EIP-7702: remove outdated note on forward compatibility,EIPs
8827,Update EIP-7607: Update eip-7607 with Fusaka name,EIPs
8825,Update EIP-5920: Move to Stagnant,EIPs
8822,Update EIP-7742: Uncouple blob count between CL and EL,EIPs
8820,CI: Change to six months with one week warning.,EIPs
8819,Add EIP: Transfer With Authorization,EIPs
8818,Update EIP-7251: remove custom ceilings prose,EIPs
8817,Update EIP-712: Fix typo,EIPs
8816,Update EIP-2935: update mechanism via system call,EIPs
8815,Update EIP-7251: typo in the code,EIPs
8814,Update EIP-2537: Update eip-2537.md,EIPs
8813,Update EIP-5792: Move to Last Call,EIPs
8809,Update EIP-7039: Move to Stagnant,EIPs
8807,Update EIP-3155: Move to Review,EIPs
8802,Update EIP-3155: Move to Review,EIPs
8799,Add EIP: EOF/EVM Trace Specification,EIPs
8798,Update EIP-3155: Move to Draft,EIPs
8797,"Update EIP-7600: Remove ""for one transaction"" from 7702 description",EIPs
8796,Update EIP-3155: Move to Review,EIPs
8795,Update EIP-7702: add a few clarifications,EIPs
8792,Update EIP-7637: Move to Review,EIPs
8791,"Update EIP-5792: multi-chain wallet_sendCalls""",EIPs
8790,Update EIP-7702: Switch order of authority warm access,EIPs
8789,Update EIP-155: Adding ChainID 0 to increase awareness for EOA registration,EIPs
8788,Update EIP-7732: Links to consensus repo,EIPs
8785,Update EIP-1: Implementing a Formalized Impact Assessment Phase for Core EIPs,EIPs
8784,Update EIP-1: Clarified use of all-capitalized key words and declared non-usage for EIP-1,EIPs
8783,Update EIP-6466: Move to Stagnant,EIPs
8782,Update EIP-6465: Move to Stagnant,EIPs
8781,Delete assets/eip-7212,EIPs
8780,Update EIP-7748: fix namings,EIPs
8779,Update EIP-7600: Delete EIPS/eip-7212.md,EIPs
8776,Update EIP-7702: add more security considerations,EIPs
8775,"Update EIP-7702: charge empty account upfront, refund diff during processing",EIPs
8774,Add EIP: Add wallet_signIntendedValidatorData method,EIPs
8773,Bump rexml from 3.2.5 to 3.3.2,EIPs
8772,Update EIP-5792: add `parallel` capability to ERC-5792,EIPs
8771,Update EIP-5792: multi-chain wallet_sendCalls,EIPs
8770,Update EIP-3540: Remove ban of EXTCODESIZE,EIPs
8769,Update EIP-6789: Move to Draft,EIPs
8766,Update EIP-7702: various updates,EIPs
8763,Update EIP-7702: Add `tx_origin` field to authority,EIPs
8762,Update EIP-7702: Proxy the storage of a delegation to its unique deleterminstic keys,EIPs
