prNumber,prTitle,repo,eip,proposed_status
8843,Update EIP-7723: Move to Review,EIPs,7723,Review
8837,Update EIP-7742: Move to Review,EIPs,7742,Review
8834,Update EIP-5792: Move to Review,EIPs,5792,Review
8825,Update EIP-5920: Move to Stagnant,EIPs,5920,Stagnant
8813,Update EIP-5792: Move to Last Call,EIPs,5792,Last Call
8809,Update EIP-7039: Move to Stagnant,EIPs,7039,Stagnant
8807,Update EIP-3155: Move to Review,EIPs,3155,Review
8802,Update EIP-3155: Move to Review,EIPs,3155,Review
8798,Update EIP-3155: Move to Draft,EIPs,3155,Draft
8796,Update EIP-3155: Move to Review,EIPs,3155,Review
8792,Update EIP-7637: Move to Review,EIPs,7637,Review
8783,Update EIP-6466: Move to Stagnant,EIPs,6466,Stagnant
8782,Update EIP-6465: Move to Stagnant,EIPs,6465,Stagnant
8769,Update EIP-6789: Move to Draft,EIPs,6789,Draft
8757,Update EIP-5792: Move to Review,EIPs,5792,Review
8750,Update EIP-7610: Move to Review,EIPs,7610,Review
8749,Update EIP-7675: Move to Review,EIPs,7675,Review
8732,Update EIP-2294: Move to Review,EIPs,2294,Review
8729,Update EIP-7636: Move to Final,EIPs,7636,Final
8704,Update EIP-7545: Move to Stagnant,EIPs,7545,Stagnant
8703,Update EIP-6914: Move to Stagnant,EIPs,6914,Stagnant
8672,Update EIP-7623: Move to Review,EIPs,7623,Review
8671,Update EIP-7594: Move to Review,EIPs,7594,Review
8669,Update EIP-7636: Move to Last Call,EIPs,7636,Last Call
8661,Update EIP-7547: Move to Review,EIPs,7547,Review
8660,Update EIP-7698: Move to Review,EIPs,7698,Review
8659,Update EIP-7069: Move to Review,EIPs,7069,Review
8658,Update EIP-7692: Move to Review,EIPs,7692,Review
8657,Update EIP-7702: Move to Review,EIPs,7702,Review
8656,Update EIP-7685: Move to Review,EIPs,7685,Review
8655,Update EIP-7251: Move to Review,EIPs,7251,Review
8654,Update EIP-7002: Move to Review,EIPs,7002,Review
8653,Update EIP-6110: Move to Review,EIPs,6110,Review
8652,Update EIP-2935: Move to Review,EIPs,2935,Review
8651,Update EIP-7600: Move to Review,EIPs,7600,Review
8647,Update EIP-7251: Move to Review,EIPs,7251,Review
8646,Update EIP-7549: Move to Review,EIPs,7549,Review
8614,Update EIP-7688: Move to Review,EIPs,7688,Review
8612,Update EIP-5792: Move to Last Call,EIPs,5792,Last Call
8534,Update EIP-7664: Move to Withdrawn,EIPs,7664,Withdrawn
8530,Update EIP-7623: Move to Withdrawn,EIPs,7623,Withdrawn
8513,Update EIP-7658: Move to Review,EIPs,7658,Review
8500,Update EIP-7600: Move to Review,EIPs,7600,Review
8450,Update EIP-5792: Move to Review,EIPs,5792,Review
8427,Update EIP-7519: Move to Stagnant,EIPs,7519,Stagnant
8397,Update EIP-7587: Move to Last Call,EIPs,7587,Last Call
8364,Update EIP-7636: Move to Review,EIPs,7636,Review
8362,Update EIP-7044: Move to Final,EIPs,7044,Final
8361,Update EIP-5792: Move to Draft,EIPs,5792,Draft
8360,Update EIP-5656: Move to Last Call,EIPs,5656,Last Call
8346,Update EIP-5656: Move to Final,EIPs,5656,Final
8345,Update EIP-7044: Move to Final,EIPs,7044,Final
8337,Update EIP-7045: Move to Final,EIPs,7045,Final
8336,Update EIP-6780: Move to Final,EIPs,6780,Final
8335,Update EIP-4844: Move to Final,EIPs,4844,Final
8334,Update EIP-7569: Move to Final,EIPs,7569,Final
8333,Update EIP-1153: Move to Final,EIPs,1153,Final
8321,Update EIP-7514: Move to Final,EIPs,7514,Final
8320,Update EIP-7044: Move to Final,EIPs,7044,Final
8319,Update EIP-7377: Move to Draft,EIPs,7377,Draft
8318,Update EIP-4788: Move to Final,EIPs,4788,Final
8311,Update EIP-4200: Move to Review,EIPs,4200,Review
8306,Update EIP-7620: Move to Review,EIPs,7620,Review
8297,Update EIP-7441: Move to Stagnant,EIPs,7441,Stagnant
8252,Update EIP-2537: Move to Review,EIPs,2537,Review
8251,Update EIP-7523: Move to Last Call,EIPs,7523,Last Call
8225,Update EIP-7523: Move to Review,EIPs,7523,Review
8224,Update EIP-7523: Move to Review,EIPs,7523,Review
8217,Update EIP-3540: Move to Review,EIPs,3540,Review
8216,Update EIP-6206: Move to Review,EIPs,6206,Review
8215,Update EIP-7480: Move to Review,EIPs,7480,Review
8172,Update EIP-7568: Move to Last Call,EIPs,7568,Last Call
8166,Update EIP-2935: Move to Draft,EIPs,2935,Draft
8164,Update EIP-7587: Move to Review,EIPs,7587,Review
8153,Update EIP-5656: Move to Last Call,EIPs,5656,Last Call
8152,Update EIP-3540: Move to Review,EIPs,3540,Review
8148,Update EIP-4938: Move to Last Call,EIPs,4938,Last Call
8147,Update EIP-5793: Move to Last Call,EIPs,5793,Last Call
8146,Update EIP-4844: Move to Last Call,EIPs,4844,Last Call
8144,Update EIP-7044: Move to Last Call,EIPs,7044,Last Call
8143,Update EIP-7516: Move to Last Call,EIPs,7516,Last Call
8141,Update EIP-4788: Move to Last Call,EIPs,4788,Last Call
8140,Update EIP-6780: Move to Last Call,EIPs,6780,Last Call
8139,Update EIP-7045: Move to Last Call,EIPs,7045,Last Call
8138,Update EIP-4762: Move to Draft,EIPs,4762,Draft
8134,Update EIP-7514: Move to Last Call,EIPs,7514,Last Call
8133,Update EIP-6122: Move to Final,EIPs,6122,Final
8132,Update EIP-6953: Move to Final,EIPs,6953,Final
8131,Update EIP-7569: Move to Last Call,EIPs,7569,Last Call
8122,Update EIP-6466: Move to Review,EIPs,6466,Review
8120,Update EIP-6913: Move to Draft,EIPs,6913,Draft
8101,Update EIP-7212: Move to Moved,EIPs,7212,Moved
8072,Update EIP-6465: Move to Review,EIPs,6465,Review
8071,Update EIP-6404: Move to Review,EIPs,6404,Review
8054,Update EIP-6493: Move to Review,EIPs,6493,Review
8048,Update EIP-7568: Move to Review,EIPs,7568,Review
8028,Update EIP-2070: Move to Withdrawn,EIPs,2070,Withdrawn
8027,Update EIP-7569: Move to Review,EIPs,7569,Review
8009,Update EIP-6780: Move to Review,EIPs,6780,Review
8008,Update EIP-6122: Move to Last Call,EIPs,6122,Last Call
8000,Update EIP-6953: Move to Last Call,EIPs,6953,Last Call
7998,Update EIP-7549: Move to Draft,EIPs,7549,Draft
7996,Update EIP-5792: Move to Review,EIPs,5792,Review
7995,Update EIP-7516: Move to Last Call,EIPs,7516,Last Call
7992,Update EIP-4788: Move to Review,EIPs,4788,Review
7991,Update EIP-3074: Move to Review,EIPs,3074,Review
7985,Update EIP-7516: Move to Review,EIPs,7516,Review
7984,Update EIP-5656: Move to Last Call,EIPs,5656,Last Call
7948,Update EIP-2294: Move to Draft,EIPs,2294,Draft
7929,Update EIP-6916: Move to Review,EIPs,6916,Review
7927,Update EIP-7066: Move to Final,EIPs,7066,Final
7911,Update EIP-5164: Move to Last Call,EIPs,5164,Last Call
7909,Update EIP-6357: Move to Last Call,EIPs,6357,Last Call
7903,Update EIP-6956: Move to Review,EIPs,6956,Review
7883,Update EIP-7160: Move to Last Call,EIPs,7160,Last Call
7879,Update EIP-7528: Move to Review,EIPs,7528,Review
7871,Update EIP-3643: Move to Last Call,EIPs,3643,Last Call
7864,Update EIP-7409: Move to Final,EIPs,7409,Final
7861,Update EIP-6596: Move to Review,EIPs,6596,Review
7857,Update EIP-6123: Move to Draft,EIPs,6123,Draft
7854,Update EIP-5189: Move to Draft,EIPs,5189,Draft
7847,Update EIP-2294: Move to Review,EIPs,2294,Review
7832,Update EIP-7015: Move to Last Call,EIPs,7015,Last Call
7819,Update EIP-663: Move to Draft,EIPs,663,Draft
