_id,eip,fromStatus,toStatus,title,status,author,created,changeDate,type,category,discussion,deadline,requires,pr,changedDay,changedMonth,changedYear,createdMonth,createdYear,__v,repo
67982bd216b666d4883abeae,1,Active,Living,EIP Purpose and Guidelines,Living,"Martin Becze <mb@ethereum.org>, Hudson Jameson <hudson@ethereum.org>, et al.",2015-10-27T00:00:00.000Z,2020-11-06T00:00:00.000Z,Meta,Meta,undefined,undefined,undefined,2969,6,11,2020,10,2015,0,eip
67982bd216b666d4883abeb1,1,Idea,Active,EIP Purpose and Guidelines,Active,"Martin Becze <mb@ethereum.org>, Hudson Jameson <hudson@ethereum.org>, and others",2015-10-27T00:00:00.000Z,2019-01-09T00:00:00.000Z,Meta,Meta,undefined,undefined,undefined,1510,9,1,2019,10,2015,0,eip
67982bd316b666d4883abeb5,100,Accepted,Final,Change difficulty adjustment to target mean block time including uncles,Final,Vitalik Buterin,2016-04-28T00:00:00.000Z,2017-12-01T00:00:00.000Z,Standard Track,Core,undefined,undefined,undefined,786,1,12,2017,4,2016,0,eip
67982bd316b666d4883abeb8,100,Idea,Accepted,Change difficulty adjustment to target mean block time including uncles,Accepted,Vitalik Buterin,2016-04-28T00:00:00.000Z,2017-11-16T00:00:00.000Z,Standard Track,Core,undefined,undefined,undefined,692,16,11,2017,4,2016,0,eip
67982bd416b666d4883abebd,101,Draft,Stagnant,Serenity Currency and Crypto Abstraction,Stagnant,Vitalik Buterin <v@buterin.com>,2015-11-15T00:00:00.000Z,2021-10-17T00:00:00.000Z,Standards Track,Core,undefined,undefined,undefined,4226,17,10,2021,11,2015,0,eip
67982bd416b666d4883abec0,101,Active,Draft,Serenity Currency and Crypto Abstraction,Draft,Vitalik Buterin <v@buterin.com>,2015-11-15T00:00:00.000Z,2018-03-23T00:00:00.000Z,Standards Track,Core,undefined,undefined,undefined,943,23,3,2018,11,2015,0,eip
67982bd416b666d4883abec3,101,Idea,Active,Serenity Currency and Crypto Abstraction,Active,Vitalik Buterin <v@buterin.com>,2015-11-15T00:00:00.000Z,2018-03-20T00:00:00.000Z,Standards Track,Core,undefined,undefined,undefined,940,20,3,2018,11,2015,0,eip
67982bd516b666d4883abec8,1010,Idea,Draft,Uniformity Between 0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B and 0x15E55EF43efA8348dDaeAa455F16C43B64917e3c,Draft,Anderson Wesley (@andywesley),2018-04-18T00:00:00.000Z,2018-04-18T00:00:00.000Z,Standards Track,Core,https://github.com/andywesley/EIPs/issues/1,undefined,undefined,1010,18,4,2018,4,2018,0,eip
67982bd616b666d4883abecc,1010,Draft,Stagnant,Uniformity Between 0xAb5801a7D398351b8bE11C439e05C5B3259aeC9B and 0x15E55EF43efA8348dDaeAa455F16C43B64917e3c,Stagnant,Anderson Wesley (@andywesley),2018-04-18T00:00:00.000Z,2021-10-10T00:00:00.000Z,Standards Track,Core,https://github.com/andywesley/EIPs/issues/1,undefined,undefined,3987,10,10,2021,4,2018,0,eip
67982bd616b666d4883abed1,1011,Idea,Draft,Hybrid Casper FFG,Draft,"Danny Ryan (@djrtwo), Chih-Cheng Liang (@ChihChengLiang)",2018-04-20T00:00:00.000Z,2018-04-19T00:00:00.000Z,Standards Track,Core,https://github.com/djrtwo/EIPs/issues/5,undefined,undefined,1011,19,4,2018,4,2018,0,eip
